Unnamed: 0,mpid,pf_n,pf_p,formula,m_n,m_p,composition
291,mp-14280,1.69,1.29,Ga2Sn2S5,1.76,1.73,"(Ga, Sn, S)"
292,mp-14283,0.8240000000000001,0.00705,Sr2InF7,0.643,83.2,"(Sr, In, F)"
293,mp-14285,1.27,2.46,CoP2,1.61,0.996,"(Co, P)"
294,mp-14289,0.7859999999999999,0.596,Ba3P4,0.85,1.05,"(Ba, P)"
295,mp-14322,0.863,0.1,Ba3Tm4O9,0.583,4.86,"(Ba, Tm, O)"
296,mp-14334,0.0559,0.0279999999999999,K2RbPdF5,420.0,60.6,"(K, Rb, Pd, F)"
297,mp-1434,1.53,1.35,MoS2,1.5,0.984,"(Mo, S)"
298,mp-14367,0.93,0.0605,AsPO5,0.504,20.5,"(As, P, O)"
299,mp-14407,1.18,0.0916,Rb7NaGe8,1.03,13.3,"(Rb, Na, Ge)"
300,mp-1443,1.03,0.355,Sn3F8,1.63,5.27,"(Sn, F)"
301,mp-14433,1.06,0.114,NaGe2N3,0.281,3.54,"(Na, Ge, N)"
302,mp-14437,1.31,0.375,RbYO2,0.612,2.32,"(Rb, Y, O)"
303,mp-14447,1.11,0.8640000000000001,Ba2SiSe4,0.73,6.13,"(Ba, Si, Se)"
304,mp-14495,0.841,0.155,Li6ZnO4,0.59,3.34,"(Li, Zn, O)"
305,mp-14506,1.01,0.231,Al7Te10,1.47,12.3,"(Al, Te)"
306,mp-14526,0.919,0.143,Na4Hf2(GeO4)3,0.465,4.45,"(Na, Hf, Ge, O)"
307,mp-14535,0.843,0.0352,In(PO3)3,0.608,18.1,"(In, P, O)"
308,mp-14536,1.05,0.0279999999999999,KNa2Zn3(PO4)3,0.462,109.0,"(K, Na, Zn, P, O)"
309,mp-14550,1.16,0.3670000000000001,TiCdO3,1.12,3.76,"(Ti, Cd, O)"
310,mp-14565,0.763,0.252,K3P6N11,0.684,2.07,"(K, P, N)"
311,mp-14568,0.889,0.0506,BaMgF4,0.541,43.7,"(Ba, Mg, F)"
312,mp-14588,1.52,0.5660000000000001,Na2PtSe2,2.03,2.35,"(Na, Pt, Se)"
313,mp-14591,0.855,0.769,LiSbS2,1.01,1.05,"(Li, Sb, S)"
314,mp-14600,0.971,0.00974,CaAl2O4,0.421,104.0,"(Ca, Al, O)"
315,mp-14620,1.07,0.21,Tm2CdSe4,0.174,0.887,"(Tm, Cd, Se)"
316,mp-14628,1.12,0.0588,ZnSnO3,0.188,4.11,"(Zn, Sn, O)"
317,mp-14630,1.19,0.0886,Y3Si3O10F,0.304,16.8,"(Y, Si, O, F)"
318,mp-14638,0.823,0.0357,Rb2LiGaF6,0.639,24.0,"(Rb, Li, Ga, F)"
319,mp-14665,0.0924,0.104,KNd(SO4)2,21.8,102.0,"(K, Nd, S, O)"
320,mp-14676,0.56,0.135,NdTa7O19,4.46,12.1,"(Nd, Ta, O)"
321,mp-14680,0.967,0.308,Sr2Ga2S5,0.3779999999999999,2.27,"(Sr, Ga, S)"
322,mp-14704,0.862,0.278,Li6Y(BO3)3,0.6629999999999999,3.18,"(Li, Y, B, O)"
323,mp-14715,0.1689999999999999,0.00892,Pr2Au5F21,9.1,160.0,"(Pr, Au, F)"
324,mp-14716,0.185,0.00804,Nd2Au5F21,7.87,171.0,"(Nd, Au, F)"
325,mp-14721,0.897,0.0378,KSiSbO5,0.487,24.6,"(K, Si, Sb, O)"
326,mp-14726,0.8420000000000001,0.0239,Na4TiO4,0.623,22.8,"(Na, Ti, O)"
327,mp-14730,0.9,0.0358,NaSiSbO5,0.473,29.7,"(Na, Si, Sb, O)"
328,mp-14734,0.89,0.00854,CsCOF3,0.563,82.3,"(Cs, C, O, F)"
329,mp-14743,0.841,0.0762,Ba3WN4,1.06,11.1,"(Ba, W, N)"
330,mp-14753,0.972,0.109,Li7TaN4,0.926,8.24,"(Li, Ta, N)"
331,mp-14769,0.8290000000000001,0.319,Ba2Zn3(AsO)2,0.093,0.226,"(Ba, Zn, As, O)"
332,mp-14787,1.29,0.979,Tm2S3,1.11,1.28,"(Tm, S)"
333,mp-1479,2.39,2.35,BP,0.332,0.3389999999999999,"(B, P)"
334,mp-14794,0.271,0.0654,K6CoS4,4.03,30.4,"(K, Co, S)"
335,mp-14797,1.58,0.3979999999999999,RbPt2Se3,0.528,1.8,"(Rb, Pt, Se)"
336,mp-14835,0.534,0.0879,Nd4Si2S3O7,2.61,16.7,"(Nd, Si, S, O)"
337,mp-14836,0.674,0.986,Pr4Si2Se3O7,2.2,1.21,"(Pr, Si, Se, O)"
338,mp-14871,1.07,0.181,Li16Ta2N8O,0.86,5.23,"(Li, Ta, N, O)"
339,mp-14889,0.0194,0.00409,K9Fe2S7,68.3,324.0,"(K, Fe, S)"
340,mp-14890,0.0149,0.00617,Rb9Fe2S7,91.6,222.0,"(Rb, Fe, S)"
341,mp-149,2.53,2.34,Si,0.294,0.318,(Si)
342,mp-14901,1.06,0.049,NaZnAsO4,0.425,20.5,"(Na, Zn, As, O)"
343,mp-14963,0.609,0.6,Pr3NbO7,11.7,2.81,"(Pr, Nb, O)"
344,mp-14983,1.63,0.532,Si4P4Ru,1.01,1.52,"(Si, P, Ru)"
345,mp-14988,0.7609999999999999,0.72,K4SnO3,5.2,4.46,"(K, Sn, O)"
346,mp-1500,1.62,0.853,BaS,0.4479999999999999,0.85,"(Ba, S)"
347,mp-15011,0.501,1.68,NaBS2,3.17,1.53,"(Na, B, S)"
348,mp-15016,0.645,1.03,Nd4Si2Se3O7,2.38,1.16,"(Nd, Si, Se, O)"
349,mp-15046,0.634,0.491,Sb2(PSe3)3,3.01,4.79,"(Sb, P, Se)"
350,mp-15059,0.0059299999999999,0.0632,GdSnF7,446.0,132.0,"(Gd, Sn, F)"
351,mp-15066,0.889,0.122,LiTmSiO4,0.505,41.2,"(Li, Tm, Si, O)"
352,mp-15079,0.888,0.00894,Cs4KLiGa2F12,0.53,62.5,"(Cs, K, Li, Ga, F)"
353,mp-15081,0.916,0.5670000000000001,Sm2Se3,0.43,1.01,"(Sm, Se)"
354,mp-1509,1.4,1.49,Sn2S3,1.93,1.1,"(Sn, S)"
355,mp-15107,0.946,0.0943,KSnAsO5,0.409,98.8,"(K, Sn, As, O)"
356,mp-15108,0.955,0.0894,RbSnAsO5,0.395,146.0,"(Rb, Sn, As, O)"
357,mp-15148,0.4379999999999999,0.121,K4Nb2S11,5.82,37.6,"(K, Nb, S)"
358,mp-15217,0.933,0.254,Rb2TaAgS4,0.491,3.61,"(Rb, Ta, Ag, S)"
359,mp-15239,1.08,0.0406,Nd3Ga5O12,0.315,8.34,"(Nd, Ga, O)"
360,mp-15254,0.8059999999999999,0.0138,Li3AlF6,0.693,387.0,"(Li, Al, F)"
361,mp-15257,0.94,0.604,Tb2Se3,0.422,0.977,"(Tb, Se)"
362,mp-15275,0.899,0.439,NaGdTiO4,82200.0,38.4,"(Na, Gd, Ti, O)"
363,mp-15317,0.915,0.0726,Rb2NaHoF6,0.518,6.52,"(Rb, Na, Ho, F)"
364,mp-15335,0.19,0.14,Lu2Cu2O5,3.9,5.64,"(Lu, Cu, O)"
365,mp-154,0.502,0.0948,N2,2.82,14.9,(N)
366,mp-15408,0.883,0.0618,KGaF4,0.629,34.7,"(K, Ga, F)"
367,mp-15417,0.847,0.359,K2GaP2,0.862,4.36,"(K, Ga, P)"
368,mp-15438,0.958,0.0847,ZnP4O11,0.512,27.1,"(Zn, P, O)"
369,mp-1550,1.73,1.06,AlP,0.3429999999999999,0.562,"(Al, P)"
370,mp-15501,0.674,0.3429999999999999,Sr4TiAs4,1.39,2.73,"(Sr, Ti, As)"
371,mp-15511,0.946,0.478,CaTe3O8,0.675,1.74,"(Ca, Te, O)"
372,mp-15547,0.914,0.157,Na2ZnGaF7,0.485,8.98,"(Na, Zn, Ga, F)"
373,mp-15558,0.7490000000000001,0.0137,Li3GaF6,0.787,100.0,"(Li, Ga, F)"
374,mp-15567,1.29,0.374,Na3AuS2,1.07,2.03,"(Na, Au, S)"
375,mp-15576,1.08,0.0543,Dy3Ga5O12,0.313,6.2,"(Dy, Ga, O)"
376,mp-15577,0.8909999999999999,0.0379,Pr4Ga2O9,0.481,12.5,"(Pr, Ga, O)"
377,mp-1559,1.12,0.043,Mg3N2,0.183,4.78,"(Mg, N)"
378,mp-15599,0.818,0.00983,K2Ca2(SO4)3,0.568,47.3,"(K, Ca, S, O)"
379,mp-15645,1.12,0.0576,Ag8SnS6,0.213,5.72,"(Ag, Sn, S)"
380,mp-15649,1.07,2.41,As2Ir,1.18,0.466,"(As, Ir)"
381,mp-15703,0.999,0.526,BeCN2,0.412,0.763,"(Be, C, N)"
382,mp-1572,1.21,0.276,GaSe,0.187,2.13,"(Ga, Se)"
383,mp-15728,0.884,0.0241,MgAg(PO3)3,0.5770000000000001,33.5,"(Mg, Ag, P, O)"
384,mp-15736,0.981,0.185,Sr3AlO4F,0.402,2.27,"(Sr, Al, O, F)"
385,mp-15740,0.952,0.0302,SrZn2(AsO4)2,0.429,39.0,"(Sr, Zn, As, O)"
386,mp-15750,0.239,0.0377,TaAgP4O13,11.7,94.1,"(Ta, Ag, P, O)"
387,mp-15776,1.1,0.162,Zn(GaSe2)2,0.149,1.0,"(Zn, Ga, Se)"
388,mp-15777,1.6,0.371,Zn(GaTe2)2,0.152,0.648,"(Zn, Ga, Te)"
389,mp-15782,1.38,0.8740000000000001,KPrS2,0.6459999999999999,1.8,"(K, Pr, S)"
390,mp-15783,1.41,0.945,KSmS2,0.642,1.8,"(K, Sm, S)"
391,mp-15788,1.56,0.8540000000000001,LiYS2,0.508,1.57,"(Li, Y, S)"
392,mp-15789,1.61,0.83,LiDyS2,0.484,1.51,"(Li, Dy, S)"
393,mp-15791,1.61,0.853,LiErS2,0.488,1.45,"(Li, Er, S)"
394,mp-15793,1.69,1.08,TbLiSe2,0.4529999999999999,1.25,"(Tb, Li, Se)"
395,mp-15794,1.64,1.09,LiYSe2,0.474,1.25,"(Li, Y, Se)"
396,mp-15796,1.69,1.09,LiHoSe2,0.457,1.18,"(Li, Ho, Se)"
397,mp-15802,0.978,0.371,Tm2MgSe4,0.362,0.956,"(Tm, Mg, Se)"
398,mp-1582,0.8140000000000001,0.152,As2O3,1.61,8.54,"(As, O)"
399,mp-15845,1.06,0.0657,SrLi4N2,0.28,161.0,"(Sr, Li, N)"
400,mp-15922,0.594,0.254,Gd2ReO5,1.55,3.23,"(Gd, Re, O)"
401,mp-15960,0.8859999999999999,0.0326,Li5AlO4,0.575,18.4,"(Li, Al, O)"
402,mp-15983,0.8859999999999999,0.374,Ba2NaNb5O15,9.13,13.2,"(Ba, Na, Nb, O)"
403,mp-15988,1.46,3.94,Li2CuSb,0.496,0.184,"(Li, Cu, Sb)"
404,mp-1599,1.25,0.426,BN,6.38,4.88,"(B, N)"
405,mp-160,1.47,4.09,B,0.985,0.93,(B)
406,mp-1602,0.823,0.363,SiS2,1.29,32.8,"(Si, S)"
407,mp-16025,0.325,0.111,Y2(SO4)3,5.27,13.9,"(Y, S, O)"
408,mp-16031,1.06,0.108,Sn3N4,0.0859,0.8420000000000001,"(Sn, N)"
409,mp-16032,0.4589999999999999,2.98,Pr2TeO2,4.54,1.06,"(Pr, Te, O)"
410,mp-16035,0.0667,4.6,Gd2TeO2,31.0,1.55,"(Gd, Te, O)"
411,mp-16036,0.599,2.75,Tb2TeO2,67.0,1.63,"(Tb, Te, O)"
412,mp-16055,0.0468,0.466,KLi3Zr2(Si2O5)6,66.1,4.65,"(K, Li, Zr, Si, O)"
413,mp-16102,0.945,0.0173,ZnAg2P2O7,0.45,24.9,"(Zn, Ag, P, O)"
414,mp-16107,0.784,0.239,Rb3P6N11,0.638,2.09,"(Rb, P, N)"
415,mp-16116,1.03,0.642,RbSm2CuSe4,1.17,1.43,"(Rb, Sm, Cu, Se)"
416,mp-16118,1.06,0.807,RbDy2CuSe4,1.25,1.28,"(Rb, Dy, Cu, Se)"
417,mp-16152,0.848,0.643,Pr2Te2O7,1.54,2.03,"(Pr, Te, O)"
418,mp-16159,0.542,0.0822,Pr4Si2S3O7,2.68,17.9,"(Pr, Si, S, O)"
419,mp-16179,1.47,0.439,SrCu2GeSe4,0.309,2.43,"(Sr, Cu, Ge, Se)"
420,mp-16220,1.8,2.2,Si,0.5379999999999999,0.441,(Si)
421,mp-16236,1.07,0.182,KAgSe,0.17,10.8,"(K, Ag, Se)"
422,mp-16253,0.945,0.483,BaCaSi,0.348,0.8009999999999999,"(Ba, Ca, Si)"
423,mp-16280,1.04,0.1369999999999999,Ca2Sb2O7,0.3329999999999999,4.98,"(Ca, Sb, O)"
424,mp-1634,1.41,1.1,MoSe2,1.32,4.92,"(Mo, Se)"
425,mp-16402,0.299,0.2339999999999999,Tb4(SiS4)3,3.44,7.58,"(Tb, Si, S)"
426,mp-16432,0.944,0.184,Sr3(BO3)2,0.493,8.79,"(Sr, B, O)"
427,mp-16445,1.01,0.451,CsSm2CuSe4,1.06,1.93,"(Cs, Sm, Cu, Se)"
428,mp-16452,0.883,0.621,BaLa2ZnS5,0.6559999999999999,0.8,"(Ba, La, Zn, S)"
429,mp-16461,0.00226,0.251,Gd2Si2O7,1050.0,13.7,"(Gd, Si, O)"
430,mp-16543,0.6459999999999999,0.1009999999999999,Cs3Cu5O4,1.27,47.2,"(Cs, Cu, O)"
431,mp-16585,0.862,0.109,HgB4O7,0.664,7.49,"(Hg, B, O)"
432,mp-16587,0.565,0.173,Dy4Si2S3O7,1.72,5.48,"(Dy, Si, S, O)"
433,mp-16596,0.8759999999999999,0.215,K3HoSi2O7,0.557,4.24,"(K, Ho, Si, O)"
434,mp-16597,0.877,0.218,K3ErSi2O7,0.555,4.14,"(K, Er, Si, O)"
435,mp-16605,0.794,0.123,Sr2TmTaO6,0.957,6.32,"(Sr, Tm, Ta, O)"
436,mp-16608,1.36,1.24,Si3Os2,1.51,0.596,"(Si, Os)"
437,mp-16609,1.7,2.31,Si3Os2,0.537,0.531,"(Si, Os)"
438,mp-16610,1.11,1.92,Ge3Os2,1.75,0.484,"(Ge, Os)"
439,mp-16684,1.0,0.713,PrCuS2,0.624,1.21,"(Pr, Cu, S)"
440,mp-16691,0.356,0.325,SrLi2Ti6O14,6.61,3.92,"(Sr, Li, Ti, O)"
441,mp-16705,0.861,0.0601,Pr2O3,0.545,7.81,"(Pr, O)"
442,mp-16737,0.8809999999999999,0.06,Na2BeB2O5,0.574,12.0,"(Na, Be, B, O)"
443,mp-16763,1.57,1.57,KYTe2,0.595,1.12,"(K, Y, Te)"
444,mp-16764,1.53,1.26,RbYTe2,0.5529999999999999,7.41,"(Rb, Y, Te)"
445,mp-16771,0.5760000000000001,0.525,MgSe2O5,1.66,3.19,"(Mg, Se, O)"
446,mp-16791,0.794,0.638,KC10,1.65,2.06,"(K, C)"
447,mp-16804,0.883,0.0452,LiCaPO4,0.551,71.1,"(Li, Ca, P, O)"
448,mp-1683,2.73,0.637,ZrSe3,4.0,6.39,"(Zr, Se)"
449,mp-16831,0.0514,0.108,CaTi4(PO4)6,43.1,19.0,"(Ca, Ti, P, O)"
450,mp-16834,1.04,0.14,Zn3(AsO4)2,0.352,6.09,"(Zn, As, O)"
451,mp-16848,0.6869999999999999,0.416,Tl3PS4,1.52,4.56,"(Tl, P, S)"
452,mp-16855,0.918,0.18,K3Ta3Si2O13,7.88,13.6,"(K, Ta, Si, O)"
453,mp-16861,1.07,0.08,Na5GeAs3,0.1009999999999999,1.92,"(Na, Ge, As)"
454,mp-16870,1.13,0.2289999999999999,Ba2CdSe3,0.254,1.63,"(Ba, Cd, Se)"
455,mp-16903,0.713,0.192,SrSbF5,1.04,5.1,"(Sr, Sb, F)"
456,mp-16911,0.314,0.109,Rb2S5,4.64,21.0,"(Rb, S)"
457,mp-16919,0.8009999999999999,0.794,Y2HfS5,0.8,0.787,"(Y, Hf, S)"
458,mp-16921,1.34,0.3829999999999999,KNa4GeAs3,0.508,4.08,"(K, Na, Ge, As)"
459,mp-16929,0.619,0.813,Pr3Si6N11,2.14,1.84,"(Pr, Si, N)"
460,mp-16945,1.08,0.0595,Sr3(GaN2)2,0.247,4.88,"(Sr, Ga, N)"
461,mp-16947,0.884,0.0515,LiAlGeO4,0.528,11.9,"(Li, Al, Ge, O)"
462,mp-16961,1.1,0.0598,Na6Si2Se7,0.288,6.24,"(Na, Si, Se)"
463,mp-16964,0.841,0.0704,SiO2,0.611,7.63,"(Si, O)"
464,mp-16970,0.98,0.0587,Na2Si2O5,0.496,9.21,"(Na, Si, O)"
465,mp-16978,1.02,0.22,Ba3MgSb2O9,0.401,1.93,"(Ba, Mg, Sb, O)"
466,mp-16992,1.07,0.207,NaAg3S2,0.244,1.26,"(Na, Ag, S)"
467,mp-16995,0.537,0.746,Sm3Si6N11,2.4,1.98,"(Sm, Si, N)"
468,mp-16996,0.895,0.0537,Li3GaSiO5,0.5720000000000001,18.1,"(Li, Ga, Si, O)"
469,mp-16998,1.08,0.291,Ba2Nb6Te2O21,3.33,18.5,"(Ba, Nb, Te, O)"
470,mp-17008,0.345,0.148,CaTeO3,61.2,11.9,"(Ca, Te, O)"
471,mp-17009,0.909,0.158,Ba3Te2O9,0.494,2.86,"(Ba, Te, O)"
472,mp-17012,0.883,0.4920000000000001,Sr2VN3,1.95,2.13,"(Sr, V, N)"
473,mp-17048,0.6409999999999999,0.361,Rb2WS4,1.45,4.25,"(Rb, W, S)"
474,mp-17056,0.875,0.042,LiZnPO4,0.551,13.2,"(Li, Zn, P, O)"
475,mp-17066,0.804,0.0269,Y2TeO6,0.625,18.7,"(Y, Te, O)"
476,mp-1707,0.603,0.157,BaN6,5.03,89.4,"(Ba, N)"
477,mp-17088,0.696,0.498,KBaPS4,1.17,3.28,"(K, Ba, P, S)"
478,mp-17123,0.956,0.883,Si2Os,0.446,0.493,"(Si, Os)"
479,mp-17129,1.03,0.0848,Sr3(AlN2)2,0.3289999999999999,5.17,"(Sr, Al, N)"
480,mp-1714,0.473,4.21,FeSi2,3.99,0.374,"(Fe, Si)"
481,mp-17143,0.619,0.1159999999999999,BaGd2O4,0.789,3.76,"(Ba, Gd, O)"
482,mp-17146,0.386,0.111,K2S5,3.79,17.6,"(K, S)"
483,mp-17153,1.15,0.97,Tb2BaTe4,0.609,0.858,"(Tb, Ba, Te)"
484,mp-17160,0.296,0.203,DyPtF7,6.77,8.62,"(Dy, Pt, F)"
485,mp-17167,1.03,0.0511,Be3Cd4Si3TeO12,0.386,7.75,"(Be, Cd, Si, Te, O)"
486,mp-17187,0.775,0.0394,K3Nd(PO4)2,0.688,16.7,"(K, Nd, P, O)"
487,mp-17196,0.536,0.033,TiAs2O7,4.39,39.9,"(Ti, As, O)"
488,mp-17208,0.7490000000000001,0.2019999999999999,K2Li14Zr3O14,0.8,9.23,"(K, Li, Zr, O)"
489,mp-17243,1.01,0.732,Pr3CuSnSe7,0.899,1.78,"(Pr, Cu, Sn, Se)"
490,mp-17244,1.05,0.107,Ba2ZnGe2S6O,0.285,6.4,"(Ba, Zn, Ge, S, O)"
491,mp-1726,0.273,0.15,KO3,3.36,7.94,"(K, O)"
492,mp-17272,0.422,0.1159999999999999,NbCuO3,12.1,15.0,"(Nb, Cu, O)"
493,mp-17283,0.48,0.483,K3NbSe4,2.21,2.36,"(K, Nb, Se)"
494,mp-17288,0.914,0.0756,Li2ZnSiO4,0.4679999999999999,5.74,"(Li, Zn, Si, O)"
495,mp-17315,0.0572,0.522,Zr3Tl2OF12,70.7,87.9,"(Zr, Tl, O, F)"
496,mp-17337,0.713,0.0206,RbAsOF4,0.969,1410.0,"(Rb, As, O, F)"
497,mp-17375,0.954,0.0574,K2Na3TlO4,0.401,7.74,"(K, Na, Tl, O)"
498,mp-17382,0.9,0.129,Rb2Si3SnO9,0.4920000000000001,3.58,"(Rb, Si, Sn, O)"
499,mp-17394,0.944,0.1169999999999999,NaYGeO4,0.466,44.0,"(Na, Y, Ge, O)"
500,mp-17400,0.845,0.322,Ba2TaN3,0.971,3.4,"(Ba, Ta, N)"
501,mp-17412,0.813,0.119,BaPr2O4,0.8640000000000001,6.77,"(Ba, Pr, O)"
502,mp-17418,0.6920000000000001,0.0171,SmSnF7,0.926,369.0,"(Sm, Sn, F)"
503,mp-17433,0.925,0.129,NaSr4(SbO4)3,0.515,4.0,"(Na, Sr, Sb, O)"
504,mp-17434,0.873,0.0244,K2SmF5,0.5529999999999999,70.7,"(K, Sm, F)"
505,mp-17439,0.871,0.0625,KSm(PO3)4,0.547,50.3,"(K, Sm, P, O)"
506,mp-17447,0.7829999999999999,0.0339,Sr10P6SO24,0.73,55.8,"(Sr, P, S, O)"
507,mp-1745,0.647,0.153,Sm2O3,1.26,6.3,"(Sm, O)"
508,mp-17470,1.29,0.912,Ba3(SnAs2)2,1.41,1.11,"(Ba, Sn, As)"
509,mp-17473,1.32,0.247,Na2Al2As3,0.672,2.4,"(Na, Al, As)"
510,mp-17481,0.58,0.215,Mg4Ta2O9,1.45,4.16,"(Mg, Ta, O)"
511,mp-17486,0.916,0.5720000000000001,Ho3SiCuS7,0.8240000000000001,1.84,"(Ho, Si, Cu, S)"
512,mp-17499,0.00615,0.0184,K7Nb(SO4)6,257.0,86.7,"(K, Nb, S, O)"
513,mp-17504,1.46,1.41,Sr3(GeAs2)2,1.3,0.769,"(Sr, Ge, As)"
514,mp-17512,0.713,0.178,Zn(AuF4)2,7.95,36.8,"(Zn, Au, F)"
515,mp-17539,0.679,0.0206,KAsOF4,1.01,1490.0,"(K, As, O, F)"
516,mp-17562,0.1159999999999999,0.206,Sr3Sc(BO3)3,17.5,9.53,"(Sr, Sc, B, O)"
517,mp-17577,0.384,0.0463,Ca6MnN5,3.05,25.6,"(Ca, Mn, N)"
518,mp-17586,0.79,0.0583,CdS2O7,0.745,21.0,"(Cd, S, O)"
519,mp-17599,0.2,0.106,CaCu3(GeO3)4,7.97,15.1,"(Ca, Cu, Ge, O)"
520,mp-17612,1.01,0.12,Ba2SiO4,0.493,7.58,"(Ba, Si, O)"
521,mp-17620,0.92,0.176,TmBO3,0.483,2.73,"(Tm, B, O)"
522,mp-17621,0.21,0.0803,CsReO4,7.72,30.7,"(Cs, Re, O)"
523,mp-17650,1.08,0.132,KGaS2,0.3379999999999999,29.2,"(K, Ga, S)"
524,mp-17660,0.91,0.46,SrPrCuSe3,0.833,1.61,"(Sr, Pr, Cu, Se)"
525,mp-17661,0.8640000000000001,0.0461,RbNd(PO3)4,0.546,36.3,"(Rb, Nd, P, O)"
526,mp-17662,0.509,0.523,Lu2PdO4,159.0,20.0,"(Lu, Pd, O)"
527,mp-1767,0.936,0.104,Tm2O3,0.452,4.07,"(Tm, O)"
528,mp-17673,0.983,0.209,Lu3O2F5,0.48,271.0,"(Lu, O, F)"
529,mp-17685,0.975,0.0295,Li3GaGeO5,0.477,34.6,"(Li, Ga, Ge, O)"
530,mp-17691,1.41,0.665,Cu3SbS3,0.954,2.08,"(Cu, Sb, S)"
531,mp-17694,0.959,0.0287,Ca5Al6O14,0.4320000000000001,19.4,"(Ca, Al, O)"
532,mp-17696,0.963,0.406,Ba2VN3,1.46,1.71,"(Ba, V, N)"
533,mp-17699,0.0994,0.0586,Er2Cu(B2O5)2,16.4,26.3,"(Er, Cu, B, O)"
534,mp-17704,0.8959999999999999,0.179,Tm2SiO5,0.496,226.0,"(Tm, Si, O)"
535,mp-17708,0.879,0.369,Ge3Sb2O9,1.0,2.43,"(Ge, Sb, O)"
536,mp-17709,0.947,0.0564,Na2ZnSiO4,0.426,7.68,"(Na, Zn, Si, O)"
537,mp-17718,0.884,0.0878,CsKNa2Li12(SiO4)4,0.536,5.4,"(Cs, K, Na, Li, Si, O)"
538,mp-17719,0.691,0.377,La3SiAgS7,1.72,3.18,"(La, Si, Ag, S)"
539,mp-17722,0.877,0.297,PrTaO4,2.65,4.15,"(Pr, Ta, O)"
540,mp-17750,0.962,0.8140000000000001,Pr2SiTeO4,1.93,4.77,"(Pr, Si, Te, O)"
541,mp-17761,0.942,0.0299,CaGeO3,0.4679999999999999,37.1,"(Ca, Ge, O)"
542,mp-17765,0.613,0.358,Ta2ZnO6,17.5,5.34,"(Ta, Zn, O)"
543,mp-17769,0.659,0.161,YSO4F,2.38,7.6,"(Y, S, O, F)"
544,mp-17770,0.884,0.0242,CsPr(PO3)4,0.55,82.2,"(Cs, Pr, P, O)"
545,mp-17786,1.11,0.939,Ba(SmTe2)2,0.63,0.87,"(Ba, Sm, Te)"
546,mp-17789,0.165,0.16,K2RuO4,9.85,14.5,"(K, Ru, O)"
547,mp-17799,0.7140000000000001,0.0329,KCdC3(NO)3,0.932,88.5,"(K, Cd, C, N, O)"
548,mp-17803,0.205,0.413,Nb2Tl4S11,9.23,3.85,"(Nb, Tl, S)"
549,mp-17805,0.71,0.344,Ba2SnSe3F2,0.818,7.26,"(Ba, Sn, Se, F)"
550,mp-17808,0.8109999999999999,0.241,Nb2Zn4O9,0.7120000000000001,2.76,"(Nb, Zn, O)"
551,mp-17816,1.03,0.00983,Na5AsO5,0.415,47.6,"(Na, As, O)"
552,mp-17823,0.836,0.24,Tl3B3S10,0.929,3.09,"(Tl, B, S)"
553,mp-17830,1.26,1.64,Rb3Ge4Au,0.6559999999999999,15.1,"(Rb, Ge, Au)"
554,mp-17838,0.733,0.0286,Tb3KF10,0.8109999999999999,20.8,"(Tb, K, F)"
555,mp-17839,0.884,0.0293,K3Na(SeO4)2,0.598,20.3,"(K, Na, Se, O)"
556,mp-1784,0.938,0.179,CsF,0.442,2.32,"(Cs, F)"
557,mp-17841,0.523,0.251,Mg4Nb2O9,1.73,4.87,"(Mg, Nb, O)"
558,mp-17854,1.01,0.118,LiInGeO4,0.32,20.3,"(Li, In, Ge, O)"
559,mp-17862,2.83,0.589,Ag3Ge5P6,0.153,0.7340000000000001,"(Ag, Ge, P)"
560,mp-17886,1.58,1.18,K2Al2Sb3,2.1,22.8,"(K, Al, Sb)"
561,mp-17887,0.949,0.0911,SnP2O7,0.486,5.06,"(Sn, P, O)"
562,mp-17888,0.038,0.0428,K2Zr3OF12,527.0,243.0,"(K, Zr, O, F)"
563,mp-17891,0.878,0.13,NaYSiO4,0.52,19.4,"(Na, Y, Si, O)"
564,mp-17894,0.746,0.471,Rb3Sm(PS4)2,3.42,36.0,"(Rb, Sm, P, S)"
565,mp-17895,0.867,0.0693,K3BeF5,0.581,9.56,"(K, Be, F)"
566,mp-17906,0.555,0.154,PrF3,6.98,41.4,"(Pr, F)"
567,mp-17912,0.159,0.1119999999999999,Rb3SbSe3,9.48,13.5,"(Rb, Sb, Se)"
568,mp-17918,0.6759999999999999,0.302,Ba2SnS3F2,1.04,6.77,"(Ba, Sn, S, F)"
569,mp-17921,0.0143,0.106,NbSeOF7,208.0,31.8,"(Nb, Se, O, F)"
570,mp-17927,1.16,0.971,Ba(DyTe2)2,0.603,0.858,"(Ba, Dy, Te)"
571,mp-17939,0.872,0.00609,Na2SiF6,0.584,478.0,"(Na, Si, F)"
572,mp-1794,1.52,0.818,BeO,0.544,1.01,"(Be, O)"
573,mp-17944,0.8540000000000001,0.0073,NaCaAlF6,0.6,112.0,"(Na, Ca, Al, F)"
574,mp-17947,1.09,0.176,BaCu2GeS4,0.21,1.92,"(Ba, Cu, Ge, S)"
575,mp-17951,0.897,0.0126,Cs4Zn3F10,0.52,65.1,"(Cs, Zn, F)"
576,mp-17953,0.3429999999999999,0.371,MgNb2O6,10.2,4.85,"(Mg, Nb, O)"
577,mp-17975,0.926,0.098,KSrPO4,0.4639999999999999,4.93,"(K, Sr, P, O)"
578,mp-17979,0.962,0.0122,BaAl2(SiO4)2,0.461,86.5,"(Ba, Al, Si, O)"
